FID,xcnt,ycnt
131,154.491005584,176.482240449
132,154.637093662,173.819029472
133,153.099220108,175.316210271
134,155.869422536,176.373661144
135,155.923991591,175.206947411
136,158.042844195,179.010040597
137,150.808046034,160.34603597
138,158.189982434,175.853205928
139,157.043746401,177.118715938
140,143.133515569,156.449904735
141,144.01301463,156.26078818
142,144.586729819,156.446852202
143,146.556914745,156.751725271
144,145.517215908,156.534681599
145,145.157757403,155.271120441
146,147.789466307,177.105087939
147,147.877263269,176.726923076
148,147.617532053,177.785410794
149,148.000045253,177.381044869
150,148.313833044,176.979533931
151,148.123286405,178.128889195
152,167.31516837,170.797457673
153,142.617097962,153.837294427
154,142.60308559,154.830969113
155,142.329577703,152.946607208
156,142.171096226,153.462576191
157,142.51852623,153.228342929
158,142.619516593,153.498907414
159,142.723910185,153.182392718
160,142.947636086,153.210993809
161,154.626117618,178.229198505
162,155.438820116,178.463934559
163,150.426388716,160.968492789
164,150.373263586,159.785666197
165,151.056085308,159.705084558
166,143.393584069,158.540389239
167,142.270584647,157.857576555
168,142.221557971,155.318327198
169,141.393245435,155.760404014
170,142.125445298,154.339957373
171,142.686302522,155.582832824
172,142.474867732,156.381104981
173,158.644765468,164.914337444
174,158.272709938,164.314063979
175,158.727347328,163.565271321
176,158.227779394,163.319424401
177,157.982603311,162.835431001
178,156.703440697,164.511806889
179,157.763665234,163.970659498
180,157.286647894,162.960829717
181,148.74124109,176.744424006
182,148.802204244,176.247974694
183,144.56042908,176.071882952
184,166.645727265,170.969468125
185,148.420785894,174.508654636
186,147.37827349,174.151998383
187,142.808463959,152.948617269
188,142.922041952,153.462738123
189,143.879805322,153.698805478
190,143.150896583,154.197203457
191,143.538859718,154.024005124
192,143.164780666,153.905131323
193,143.414663031,154.134521028
194,143.667903161,153.353194049
195,143.698934876,153.765399877
196,143.737954731,153.536926015
197,144.033369336,153.631459941
198,149.742911231,158.868994469
199,150.183742167,158.959591906
200,150.394785588,158.594863141
201,150.65382932,158.615649018
202,147.980967009,159.553635087
203,147.683158839,155.547785416
204,147.069075638,155.856120352
205,147.361693074,154.419757434
206,145.714051084,153.426822863
207,146.470588706,154.60755797
208,145.718548884,154.138910355
209,157.413624004,160.384380502
210,157.805237576,160.09688077
211,158.502913556,161.136632122
212,158.54254184,160.59001777
213,158.260607244,161.849286903
214,158.433667101,161.512881391
215,146.180366678,174.644095838
216,146.818327441,175.990643092
217,147.328761389,176.14207152
218,147.743084224,176.327103447
219,147.259899536,176.472431271
220,144.356210844,153.828927327
221,144.552757792,154.060176138
222,143.881735178,154.093914464
223,144.12912047,154.379770492
224,145.07117944,152.596087802
225,144.577288197,152.788391228
226,145.008662703,153.751927021
227,142.542922895,156.884141645
228,144.199293462,156.655992182
229,143.42169917,156.830734918
230,143.782960351,157.326735208
231,144.686865511,157.333165786
232,143.096135747,155.76912892
233,143.481238027,155.976105835
234,155.987247979,162.449510734
235,155.411356763,163.573320609
236,155.361039566,161.387255209
237,154.442280094,163.366791994
238,158.995006646,161.437629332
239,158.982728148,160.134159299
240,158.618483089,159.262611407
241,158.676189841,159.704327909
242,157.245352507,158.628667005
243,158.132315203,158.676313639
244,147.398523401,176.752010162
245,146.434087079,176.740907889
246,147.0213735,177.364834895
247,146.743242204,176.432372041
248,144.746662136,177.216217367
249,143.847616955,178.285462148
250,146.14064442,177.540756403
251,144.65037859,178.852362703
252,145.720399503,178.452741604
253,145.102069039,153.34195837
254,144.534349685,153.398423412
255,144.799705267,153.434447186
256,144.785386898,154.237653321
257,143.825606213,152.489308528
258,144.183966296,152.878386126
259,145.235605065,154.282924538
260,146.585401296,155.332811753
261,145.686047456,154.93583143
262,144.883915023,155.746387298
263,154.716604135,166.776197383
264,157.769230926,166.106665553
265,159.208388342,164.063815324
266,158.907406785,162.907912679
267,158.90104707,162.383157798
268,158.171639124,162.401680597
269,159.680868698,162.897140903
270,159.490575347,163.843073334
271,159.253592792,163.334739757
272,159.677380772,163.548946907
273,137.312908838,150.938971704
274,136.721388953,151.828442411
275,137.150377116,151.732789181
276,137.494941467,151.110462362
277,137.501834784,150.846831562
278,138.607755728,151.326045333
279,137.943360686,150.723194464
280,146.586888799,178.224905633
281,144.57221235,179.845161201
282,146.285582438,179.293948831
283,147.077335,178.148956823
284,145.725368816,180.372084563
285,146.914741844,180.061519234
286,144.185625588,153.337163847
287,143.599070322,152.661073319
288,143.299715237,152.570708977
289,142.994246878,151.783302028
290,142.425551704,152.547570591
291,142.742120741,152.332560803
292,156.638050796,161.813764731
293,156.506879204,160.608894162
294,156.647213425,159.391696257
295,156.113317348,159.186248569
296,158.030776886,160.877226791
297,157.483284539,161.101023436
298,157.60683158,159.434035981
299,136.374147034,155.710112014
300,136.60515817,152.757342626
301,135.014968798,155.56699255
302,136.117561692,153.109747535
303,138.090571313,155.640677914
304,139.556483311,156.190437658
305,137.807031675,157.698370878
306,138.172211574,154.088936896
307,139.646664606,153.666486616
308,139.044823041,153.866848259
309,140.583743775,155.243900968
310,139.222950143,152.039360433
311,141.449189839,152.893765015
312,139.654961164,151.876364476
313,139.128935835,151.490560673
314,139.335335314,151.545492467
315,140.20312499,152.047198958
316,140.58058821,152.365821865
317,147.361877971,178.636543857
318,148.010401619,178.754845193
319,147.96848701,180.877850924
320,148.396412443,180.21197329
321,147.761585259,179.713557931
322,149.346886625,178.951769774
323,146.483469719,181.652896714
324,147.876302204,154.443507919
325,144.266049356,151.778729535
326,163.48144118,163.391744341
327,163.356576645,163.805145715
328,163.771634803,163.603445242
329,163.569890577,163.862044245
330,163.716514021,163.108519444
331,163.990707304,163.05439557
332,164.911020478,160.349482279
333,159.278032283,162.502100598
334,159.671077869,162.355549199
335,159.404819708,162.053351774
336,158.909885499,161.949661908
337,158.976407096,160.655100328
338,159.270331491,161.344771315
339,138.043842167,150.992689848
340,137.635846703,150.481737925
341,138.250506764,150.902907604
342,138.342965586,151.23775029
343,138.98770795,151.794431263
344,138.844095632,151.367817969
345,138.776415628,151.791238458
346,150.951556006,159.06103549
347,151.048958767,158.674524793
348,151.366030436,159.080083291
349,149.396891712,160.170394285
350,149.924346464,159.600896711
351,149.384240165,159.348708768
352,146.447384387,158.43290211
353,147.388961578,156.992591248
354,148.221936442,156.785925688
355,148.771858773,157.120963107
356,148.209239981,158.212445569
357,163.454934889,162.990025678
358,164.200780789,162.278328614
359,164.16404261,161.878019525
360,164.573641112,161.042178231
361,147.219805774,168.824344651
362,146.702763104,169.949282078
363,145.531870744,167.306631681
364,147.221268455,167.965846577
365,144.048847102,168.577034126
366,143.582317948,174.306763848
367,143.592748718,171.376308406
368,143.697906601,170.169754972
369,145.725281142,169.185174153
370,144.761103967,168.845838907
371,166.277489047,171.78976264
372,141.29611836,154.115713935
373,137.715489074,152.413038536
374,138.042754486,152.868261453
375,139.132327204,152.70957201
376,138.664225031,152.552583656
377,137.703679443,151.672759595
378,137.068668862,151.196048734
379,140.282287365,152.598569845
380,140.011032622,152.70727083
381,141.011061997,152.996314578
382,141.760950047,153.411608907
383,141.3227305,153.382668672
384,141.600496367,150.22624436
385,141.887485616,152.671076651
386,148.65088684,160.140935305
387,148.126181373,158.701089364
388,148.934695023,158.727557954
389,148.5220091,159.115442932
390,156.224775113,154.051526974
391,149.146733917,174.484281374
392,150.919812406,177.291079838
393,148.285398177,157.610169379
394,148.816031885,158.134368952
395,149.154595939,158.238547972
396,149.877813455,158.428588492
397,149.564270749,158.31166641
398,144.779253025,169.622411342
399,162.953071632,167.94548674
400,161.317421894,169.022548316
401,166.448526839,171.894720918
402,166.662184988,170.234761674
403,165.750460813,169.232642574
404,149.360228192,158.772990156
405,150.897695348,158.140781346
406,151.218642576,158.016234566
407,151.368567584,158.497211068
408,150.551219863,158.099268548
409,150.368837365,157.846505505
410,166.282946779,171.332652088
411,164.901579162,172.40523762
412,164.713862886,170.296075647
413,164.576699876,168.668419277
414,163.603389554,169.053458122
415,162.360369774,169.301205007
416,161.802366091,170.2679246
417,163.924851326,171.359043826
418,162.304099762,172.193764037
419,163.198283133,171.127600234
420,159.999122395,160.819224377
421,159.70822752,161.153913907
422,161.184767271,161.535515993
423,161.832720711,161.688746062
424,161.04484761,160.650475789
425,161.409120471,162.266435124
426,161.461884836,161.517492991
427,160.447315784,162.213605535
428,160.536648514,161.944958334
429,164.023689344,165.29883093
430,163.766479544,165.857769735
431,164.132862264,164.763094054
432,164.615409627,164.983350102
433,165.360184464,166.197886582
434,164.550887433,165.533621767
435,210.969318255,176.104906505
436,213.837898427,189.898856913
437,213.644866074,187.454658889
438,205.252373881,191.243729853
439,204.787913822,190.860283887
440,205.899710783,190.044983159
441,200.583352754,190.22098944
442,160.217931509,162.14657172
443,160.748250942,161.715466186
444,160.234980653,161.86251375
445,160.57436636,162.454314535
446,160.696695733,162.316858493
447,160.827766869,162.174323752
448,160.860238095,161.984994861
449,160.87434504,162.434895377
450,161.06591833,162.296589575
451,161.127243478,163.008073411
452,160.826653405,162.747082053
453,160.940186842,162.74981158
454,161.213755311,162.720842757
455,161.167214116,162.532463185
456,164.426390975,166.084178359
457,165.524227046,167.724834237
458,165.430284341,167.054297299
459,166.146953583,167.690110688
460,164.468918927,167.290400744
461,158.360970826,169.814899108
462,212.135243207,177.83144592
463,210.300124571,179.167083379
464,210.88277623,173.613789774
465,209.623549984,176.144529494
466,220.398896078,176.604198832
467,215.793552722,194.251401397
468,214.428591015,192.579050385
469,227.908484621,189.593779506
470,227.38937034,193.489447071
471,224.817172863,191.590176987
472,224.40620721,193.317934144
473,224.76399831,194.67212149
474,223.765163265,193.041324232
475,223.861960836,193.621922921
476,160.834205846,163.963815132
477,161.123459632,163.480638742
478,160.965938912,163.713710849
479,160.786687237,163.473000169
480,160.931692558,163.222128153
481,160.509676846,163.179663091
482,160.670187295,162.926364155
483,160.402425942,162.702107442
484,160.094723477,163.076633117
485,160.402074186,163.484520331
486,157.73628594,168.986465891
